album_id,album_name,artist_name,release_date,total_tracks,popularity,image_url,genre,genre_cleaned,genre_condensed
26rTTXIEtEeSTan28AiLaV,Larger Than Life,Brent Faiyaz,2023-10-27,14,77,https://i.scdn.co/image/ab67616d0000b273ceb160561269ab00b1df9678,rnb,r&b,r&b
2EZ8JL3dtb54VXi3k6E7k6,THE BIGGEST,BigXthaPlug,2023-12-01,7,75,https://i.scdn.co/image/ab67616d0000b2739afbbc313ea008b68cc5f40d,hip-hop,hip hop,rap/hip hop
4FftCsAcXXD1nFO9RFUNFO,nadie sabe lo que va a pasar mañana,Bad Bunny,2023-10-13,22,84,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,reggaeton,reggae,reggae
3zu0hJJew2qXZNlselIQk8,Pa las Baby's Y Belikeada,Fuerza Regida,2023-10-20,30,82,https://i.scdn.co/image/ab67616d0000b273ad57982065339f7dc2058efe,Corridos tumbados,latin,latin
5DFed53ADZwnPOYuqoZJHK,Lucky,Megan Moroney,2023-05-05,13,74,https://i.scdn.co/image/ab67616d0000b273c1639d4f2dfbd824a9ff0d7f,country,country,country/folk
1rpCHilZQkw84A3Y9czvMO,Bewitched,Laufey,2023-09-08,14,78,https://i.scdn.co/image/ab67616d0000b27374c732f8aa0e0ccbb3d17d96,jazz,jazz,soul/jazz
6kcZ35GY84A3FBIcIKVqTW,Higher,Chris Stapleton,2023-11-10,14,75,https://i.scdn.co/image/ab67616d0000b273de2e30cf7205b45a0ba3877f,country,country,country/folk
4kS7bSuU0Jm9LYMosFU2x5,MAÑANA SERÁ BONITO,KAROL G,2023-02-24,17,84,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,latin,latin,latin
0HS8aknH0JQdMIiBVhyOCW,A Great Chaos,Ken Carson,2023-10-13,18,75,https://i.scdn.co/image/ab67616d0000b273bc2fbaa359030887a9a60d7e,rage,metal,metal
63IolVUykZCHMlu2zu9jHS,THE FIRST TIME,The Kid LAROI,2023-11-10,20,78,https://i.scdn.co/image/ab67616d0000b2732abb30c6296964d5d07458c2,rap,rap,rap/hip hop
0bn9eJMUQzbqZjI4ZAvRF5,the mockingbird & THE CROW,HARDY,2023-01-20,17,72,https://i.scdn.co/image/ab67616d0000b273fd6559329866163a6c4919d2,country rock,rock,rock
3rrrTOHiXGzuW4FP7t0O1A,Petals to Thorns,d4vd,2023-05-26,9,79,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7,indie rock,rock,rock
5i9lMMUZ1QZNsLEE3j50kT,El Comienzo,Grupo Frontera,2023-08-25,12,80,https://i.scdn.co/image/ab67616d0000b27382ce4c7bbf861185252e82ae,latin,latin,latin
5HOHne1wzItQlIYmLXLYfZ,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,2023-03-24,16,79,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634,female vocalists,pop,pop
